VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,SOL_DATE,ARRIVAL_DATE,END_OF_LOCKAGE,TIMEZONE,MMSI,Unnamed: 0,DELAY_MINS,SEQ_NO
RICHARD B(55X22),5681300,D,0,10/25/23 21:30,10/25/23 21:13,10/25/23 21:50,CST,,,,
HUD JOSEPH (TOW 60X24 ),0642513,U,1,10/26/23 00:30,10/25/23 21:00,10/26/23 00:40,CST,367378170.0,,,
TRUMP IT,0675384,D,6,,10/25/23 20:21,,CST,367710770.0,,,
LADY OF PROMPT SUCCOR (TOW),1155422,D,3,10/26/23 19:30,10/25/23 19:59,10/26/23 19:40,CST,367311490.0,,,
LADY OF PROMPT SUCCOR (TOW),1155422,D,3,10/26/23 19:45,10/25/23 19:59,10/26/23 19:55,CST,367311490.0,,,
LADY OF PROMPT SUCCOR (TOW),1155422,D,6,,10/25/23 19:59,,CST,367311490.0,,,
RESOLUTION (TOW),0629784,D,3,10/26/23 17:30,10/25/23 16:40,10/26/23 18:15,CST,367531790.0,,,
RESOLUTION (TOW),0629784,D,3,10/26/23 18:30,10/25/23 16:40,10/26/23 18:40,CST,367531790.0,,,
MIKE MITCHELL,0624349,U,5,,10/25/23 14:50,,CST,368144320.0,,,
AVENGER,1244673,D,2,10/26/23 10:30,10/25/23 13:27,10/26/23 11:00,CST,367561870.0,,,
GREGORY P FRAZIER (TOW),0552463,D,3,10/26/23 09:31,10/25/23 12:17,10/26/23 10:10,CST,367019930.0,,,
GREGORY P FRAZIER (TOW),0552463,D,3,10/26/23 10:15,10/25/23 12:17,10/26/23 10:25,CST,367019930.0,,,
LESLIE (TOW 73X31),1218576,D,3,10/26/23 16:26,10/25/23 12:09,10/26/23 17:05,CST,367402820.0,,,
LESLIE (TOW 73X31),1218576,D,3,10/26/23 17:10,10/25/23 12:09,10/26/23 17:25,CST,367402820.0,,,
CJ STUDDERT,1273720,D,2,10/26/23 08:30,10/25/23 12:07,10/26/23 08:55,CST,367763490.0,,,
