VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,Unnamed: 0,DELAY_MINS,SEQ_NO
MARTIN CHALLENGER (TOW),1051672,U,2,10/23/23 15:53,CST,366874920.0,10/24/23 02:10,10/24/23 03:11,,,
SAINT CHARLES (TOW 2009),1223316,U,2,10/23/23 15:11,CST,367430030.0,10/24/23 01:32,10/24/23 01:58,,,
ALYS,1233341,U,2,10/23/23 14:22,CST,368272520.0,10/24/23 00:30,10/24/23 01:05,,,
ST CHARLES (TOW)76X35,1230767,D,3,10/26/23 17:14,CST,367473550.0,,,0.0,,
COCODRIE,1259043,U,2,10/26/23 17:00,CST,367695890.0,,,1.0,,
ELLY LANE (TOW),560594,U,2,10/26/23 16:37,CST,367456810.0,,,2.0,,
T H KELLY (TOW),693109,D,5,10/26/23 16:23,CST,367004910.0,,,3.0,,
BOBBY JONES (TOW),502672,D,3,10/26/23 15:12,CST,366919160.0,,,4.0,,
KEVIN ALLEN ,1273624,U,2,10/26/23 14:38,CST,368151890.0,10/26/23 18:58,10/26/23 19:29,5.0,,
KIMBERLY HIDALGO,1253551,D,1,10/26/23 14:29,CST,367627770.0,10/26/23 15:56,10/26/23 16:50,6.0,,
KATHRYN T DEVALL (TOW 2013),1243632,U,1,10/26/23 13:52,CST,367597350.0,10/26/23 17:20,10/26/23 18:00,7.0,,
KAYLIN NICOLE (TOW 2016) 81X32,1271719,U,2,10/26/23 13:30,CST,367755650.0,10/26/23 18:13,10/26/23 18:52,8.0,,
MISS GENEVIEVE,1276019,U,2,10/26/23 12:25,CST,368201030.0,10/26/23 17:36,10/26/23 18:07,9.0,,
RED BIRD (TOW 1982 47X20,650649,D,2,10/26/23 05:44,CST,368070080.0,10/26/23 07:56,10/26/23 08:30,10.0,,
ANITA EVE SHARP  (TOW 1985),680357,D,6,10/26/23 05:32,CST,367057930.0,10/26/23 16:11,10/26/23 16:55,11.0,,
LUBBOCK,1260379,D,2,10/26/23 04:23,CST,368136890.0,10/26/23 15:21,10/26/23 15:50,12.0,,
MISS CAROLINE (TOW 2014),1250509,D,2,10/26/23 04:05,CST,367610550.0,10/26/23 14:41,10/26/23 15:15,13.0,,
MANNIE (TOW 2009),1217770,U,2,10/26/23 03:56,CST,367410990.0,10/26/23 13:21,10/26/23 13:45,14.0,,
EL PASO (TOW),538582,D,1,10/26/23 02:49,CST,366996420.0,10/26/23 05:28,10/26/23 06:11,15.0,,
LADY OF PERPETUAL HELP(TOW) ,1207724,U,6,10/26/23 02:29,CST,367328790.0,10/26/23 12:43,10/26/23 13:15,16.0,,
DANNY TERRAL (TOW) 75X26,651548,D,6,10/26/23 01:45,CST,367005180.0,10/26/23 14:00,10/26/23 14:35,17.0,,
SEALION (TOW),557400,D,1,10/26/23 01:44,CST,,10/26/23 03:11,10/26/23 03:44,18.0,,
SARAH D (TOW),1167754,D,3,10/26/23 01:43,CST,367045970.0,10/26/23 10:05,10/26/23 10:35,19.0,,
LINDA HUGHES FARLEY,1273622,D,2,10/26/23 01:21,CST,368142010.0,10/26/23 09:25,10/26/23 09:59,20.0,,
BRIAN O DANIELS ( TOW ),1198960,U,2,10/25/23 23:07,CST,367186410.0,10/26/23 12:13,10/26/23 12:37,21.0,,
