VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,Unnamed: 0,DELAY_MINS,SEQ_NO
MUDD TUG 15,1287064,U,1,10/26/23 14:44,CST,368060790.0,10/26/23 15:19,10/26/23 15:46,,,
SEA LION,0057248,D,1,10/26/23 14:40,CST,367530470.0,10/26/23 14:41,10/26/23 15:18,,,
AMERICAN CENTURY (TOW 2015),1261315,D,3,10/26/23 12:08,CST,367685130.0,10/26/23 12:36,10/26/23 13:14,,,
JONES (TOW),1211510,U,2,10/26/23 11:02,CST,368047580.0,10/26/23 11:26,10/26/23 12:35,,,
H J DUPRE (TOW),0532464,D,3,10/26/23 09:59,CST,367005580.0,10/26/23 10:53,10/26/23 11:25,,,
JOSEPH ALFRED DEVALL,1236564,D,3,10/26/23 09:57,CST,368250110.0,10/26/23 10:29,10/26/23 10:52,,,
WILLIAM  (TOW 2009) 70X30,1222437,D,2,10/26/23 09:29,CST,367423260.0,10/26/23 09:56,10/26/23 10:28,,,
CAPT JIMMY WARREN (TOW 2016) ,1265940,U,2,10/26/23 09:23,CST,367704410.0,10/26/23 09:24,10/26/23 09:55,,,
TIM SCOTT,1253090,U,2,10/26/23 04:50,CST,367618670.0,10/26/23 06:03,10/26/23 06:29,,,
ELLY LANE (TOW),0560594,U,2,10/26/23 04:02,CST,367456810.0,10/26/23 04:56,10/26/23 05:25,,,
COUSHATTA (TOW),1040099,U,2,10/26/23 02:15,CST,367456770.0,10/26/23 03:53,10/26/23 04:51,,,
PARKER JAMES (TOW 72' X 30'),1276020,U,6,10/26/23 02:11,CST,368165580.0,10/26/23 05:30,10/26/23 05:58,,,
ROBERT G STONE JR (TOW),1189439,D,2,10/26/23 01:34,CST,367146780.0,10/26/23 03:29,10/26/23 03:52,,,
RALPH RENFRO (TOW 2012) 84X32,1243956,D,2,10/26/23 01:16,CST,367556020.0,10/26/23 02:52,10/26/23 03:24,,,
BETH WILSON,1121373,D,2,10/26/23 01:14,CST,366842960.0,10/26/23 01:57,10/26/23 02:47,,,
KATHRYN T DEVALL (TOW 2013),1243632,U,1,10/25/23 22:50,CST,367597350.0,10/26/23 01:18,10/26/23 01:56,,,
LADY LOREN (TOW 77X29),1213455,D,1,10/25/23 22:37,CST,367370160.0,10/26/23 00:50,10/26/23 01:17,,,
LAKE BORGNE,1243596,D,2,10/25/23 22:35,CST,367597250.0,10/26/23 00:01,10/26/23 00:45,,,
KEVIN ALLEN ,1273624,U,2,10/25/23 22:31,CST,368151890.0,10/25/23 23:33,10/25/23 23:59,,,
MISS GENEVIEVE,1276019,U,2,10/25/23 22:07,CST,368201030.0,10/25/23 22:34,10/25/23 23:28,,,
JERIS AUTHEMENT,1252182,D,2,10/25/23 21:40,CST,367614940.0,10/25/23 21:47,10/25/23 22:33,,,
KAYLIN NICOLE (TOW 2016) 81X32,1271719,U,2,10/25/23 18:51,CST,367755650.0,10/25/23 18:52,10/25/23 19:22,,,
MANNIE (TOW 2009),1217770,U,2,10/25/23 17:07,CST,367410990.0,10/25/23 17:08,10/25/23 17:50,,,
CLELAND POWELL (TOW 2009),1223818,D,2,10/25/23 14:22,CST,367431550.0,10/25/23 15:10,10/25/23 15:35,,,
NATHAN GOLDING (TOW),1199250,D,2,10/25/23 14:17,CST,367301010.0,10/25/23 14:18,10/25/23 15:09,,,
BLR GENERAL (TOW),0501668,U,1,10/25/23 12:38,CST,367058330.0,10/25/23 12:57,10/25/23 13:14,,,
PECAN ISLAND,1243601,D,2,10/25/23 12:26,CST,367637490.0,10/25/23 13:15,10/25/23 13:54,,,
JEFFREY GRANT,1253473,D,1,10/25/23 11:59,CST,367627470.0,10/25/23 12:18,10/25/23 12:45,,,
