VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,Unnamed: 0,DELAY_MINS,SEQ_NO
JOSSET   (TOW 56X23),1116940,D,3,10/27/23 15:30,CST,366841020.0,10/29/23 08:05,10/29/23 08:50,,,
JOCK  (TOW 2000)  86X30,1101550,D,2,10/27/23 15:16,CST,367003460.0,10/29/23 05:30,10/29/23 06:30,,,
ST. MATTHIAS,1273328,U,6,10/27/23 14:36,CST,367757270.0,10/29/23 01:28,10/29/23 02:35,,,
REBOUND,0286204,U,6,10/27/23 14:17,CST,367306520.0,10/28/23 22:15,10/28/23 23:16,,,
GALVESTON (TOW 76X35),1216091,D,2,10/27/23 14:04,CST,367381320.0,10/29/23 02:45,10/29/23 03:45,,,
PHILIP (TOW 1995),1033117,U,2,10/27/23 12:58,CST,367003780.0,10/28/23 20:00,10/28/23 21:05,,,
WOODY RICHERSON (TOW 2011),1235826,U,2,10/27/23 12:49,CST,367507070.0,10/28/23 17:40,10/28/23 18:50,,,
MIKE MITCHELL,0624349,U,6,10/27/23 12:23,CST,368144320.0,10/28/23 15:15,10/28/23 16:05,,,
LOUISE NEWELL,1293670,D,2,10/27/23 12:19,CST,368090850.0,10/29/23 00:05,10/29/23 01:20,,,
AMMIE  (TOW 2010)95X30,1225687,D,2,10/27/23 10:24,CST,367448570.0,10/28/23 21:08,10/28/23 22:05,,,
RICHARD  (TOW 2008),1212306,U,2,10/27/23 08:40,CST,367361740.0,10/28/23 12:45,10/28/23 13:30,,,
RESPONDER,0543900,D,6,10/27/23 04:21,CST,368286840.0,10/28/23 18:55,10/28/23 19:35,,,
J A WARD (TOW 2006),1206273,D,6,10/27/23 03:24,CST,367662530.0,10/28/23 16:25,10/28/23 17:30,,,
STEVE RICHOUX (TOW),0568988,D,6,10/27/23 03:02,CST,366998110.0,10/28/23 13:50,10/28/23 14:40,,,
GEORGE E MARBLE (TOW),0578268,U,1,10/26/23 19:42,CST,367171050.0,,,,,
CAJUN HUSTLER (TOW),0527969,U,1,10/26/23 19:27,CST,367428170.0,,,,,
COTTLE (TOW 2019) 85X32,1291739,D,3,10/26/23 18:34,CST,368072040.0,,,,,
INDEPENDENCE,0586238,D,6,10/26/23 17:35,CST,368077830.0,,,,,
INLAND STAR  (TOW),0625678,D,2,10/26/23 17:21,CST,366961230.0,10/26/23 17:55,10/26/23 19:10,,,
CROSBY EXPRESS (TOW),1082131,U,1,10/26/23 14:48,CST,366769330.0,,,,,
JANIS ELIZABETH (TOW) 72X32,1292294,D,2,10/26/23 12:55,CST,368077290.0,,,,,
CAPTAIN ROY DANIELS,1316301,U,1,10/26/23 11:49,CST,368252420.0,10/26/23 12:31,10/26/23 13:10,,,
SAFETY PRIDE(70X24),1195365,U,1,10/26/23 11:24,CST,367702480.0,10/26/23 12:21,10/26/23 13:04,,,
CITATION (TOW),1217083,D,6,10/26/23 11:03,CST,368213040.0,,,,,
ST CHARLES (TOW)76X35,1230767,U,2,10/26/23 10:41,CST,367473550.0,,,,,
JEFF KINDL (TOW 2016) 86X35,1266571,U,8,10/26/23 09:27,CST,367711840.0,,,,,
NICEVILLE (TOW 76X35 2009),1221092,D,2,10/26/23 08:00,CST,367417570.0,,,,,
