VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
JOSSET   (TOW 56X23),1116940,D,0,2023-10-12 05:17:00,,,CST,110,
MACK AMON,1279906,D,2,2023-10-12 00:30:00,,,CST,397,3
MIKE MITCHELL,624349,U,6,2023-10-11 17:49:00,,,CST,798,2
DODSON THORNTON,266269,U,3,2023-10-11 16:20:00,2023-10-12 06:00:00,2023-10-12 06:15:00,CST,0,-
DODSON THORNTON,266269,U,3,2023-10-11 16:20:00,2023-10-12 05:20:00,2023-10-12 05:55:00,CST,780,-
M/V TEXAS CITY,1189892,U,2,2023-10-11 21:19:00,2023-10-12 04:40:00,2023-10-12 05:15:00,CST,441,-
ALEX D,1231404,U,2,2023-10-11 16:22:00,2023-10-12 04:20:00,2023-10-12 04:35:00,CST,718,-
ALYS,1233341,U,2,2023-10-11 14:55:00,2023-10-12 03:45:00,2023-10-12 04:15:00,CST,770,-
RICHARD B(TOW) 55X22,568300,D,0,2023-10-12 03:34:00,2023-10-12 03:35:00,2023-10-12 03:45:00,CST,1,-
MARIE  (TOW 2005),1171260,U,2,2023-10-11 13:10:00,2023-10-12 02:55:00,2023-10-12 03:35:00,CST,825,-
BORN AGAIN (TOW),562776,U,3,2023-10-11 10:50:00,2023-10-12 02:40:00,2023-10-12 02:50:00,CST,0,-
BORN AGAIN (TOW),562776,U,3,2023-10-11 10:50:00,2023-10-12 02:25:00,2023-10-12 02:35:00,CST,935,-
LUCAS PAUL DEVALL (TOW 2017),1277619,U,2,2023-10-11 03:20:00,2023-10-12 02:00:00,2023-10-12 02:20:00,CST,1360,-
MISS CAROLINE (TOW 2014),1250509,U,2,2023-10-10 23:26:00,2023-10-12 01:20:00,2023-10-12 02:00:00,CST,1554,-
THERESA B (TOW),561744,D,0,2023-10-12 01:08:00,2023-10-12 01:10:00,2023-10-12 01:20:00,CST,2,-
KENNY SHAVER,1294499,U,2,2023-10-10 20:49:00,2023-10-11 23:35:00,2023-10-12 01:10:00,CST,1606,-
RANDOLPH C,1261475,D,4,2023-10-11 07:05:00,2023-10-11 23:15:00,2023-10-11 23:35:00,CST,970,-
LESLIE (TOW 73X31),1218576,D,3,2023-10-11 11:33:00,2023-10-11 23:00:00,2023-10-11 23:10:00,CST,0,-
LESLIE (TOW 73X31),1218576,D,3,2023-10-11 11:33:00,2023-10-11 22:21:00,2023-10-11 22:55:00,CST,648,-
LYNN R (TOW),625663,U,3,2023-10-10 19:37:00,2023-10-11 21:25:00,2023-10-11 21:40:00,CST,1548,-
BLUE DIAMOND,565688,U,2,2023-10-10 19:37:00,2023-10-11 19:55:00,2023-10-11 21:20:00,CST,1458,-
JOEL SMITH (TOW),984928,D,1,2023-10-11 10:43:00,2023-10-11 19:40:00,2023-10-11 19:55:00,CST,537,-
MISS KIMBERLY,1333893,D,2,2023-10-11 08:53:00,2023-10-11 18:00:00,2023-10-11 19:35:00,CST,547,-
CROSBY GENERAL (TOW 1980),625205,U,1,2023-10-11 00:12:00,2023-10-11 17:20:00,2023-10-11 18:00:00,CST,1028,-
ALLIE BROOKE DEVALL,1214852,D,2,2023-10-11 04:54:00,2023-10-11 16:25:00,2023-10-11 17:20:00,CST,691,-
LADY OF PROMPT SUCCOR (TOW),1155422,D,3,2023-10-11 01:54:00,2023-10-11 16:15:00,2023-10-11 16:20:00,CST,0,-
LADY OF PROMPT SUCCOR (TOW),1155422,D,3,2023-10-11 01:54:00,2023-10-11 15:50:00,2023-10-11 16:10:00,CST,836,-
RICHARD B(55X22),5681300,U,0,2023-10-11 15:37:00,2023-10-11 15:38:00,2023-10-11 15:50:00,CST,1,-
CHARLIE C (TOW),544273,D,3,2023-10-10 22:34:00,2023-10-11 15:00:00,2023-10-11 15:05:00,CST,0,-
CHARLIE C (TOW),544273,D,3,2023-10-10 22:34:00,2023-10-11 14:45:00,2023-10-11 14:55:00,CST,971,-
LONNIE M BELL (TOW),553742,D,2,2023-10-11 03:25:00,2023-10-11 14:20:00,2023-10-11 14:40:00,CST,655,-
HENRY J SOUDELIER III ( TOW ),1195775,U,2,2023-10-10 20:34:00,2023-10-11 05:30:00,2023-10-11 06:05:00,CST,536,-
THERESA B (TOW),561744,D,0,2023-10-11 05:27:00,2023-10-11 05:28:00,2023-10-11 05:30:00,CST,1,-
LAVACA (TOW 2013) 85X35,1249710,D,0,2023-10-11 05:01:00,2023-10-11 05:15:00,2023-10-11 05:20:00,CST,14,-
ALMA GRACE,1321735,U,2,2023-10-10 17:41:00,2023-10-11 05:00:00,2023-10-11 05:15:00,CST,679,-
LAFITTE,1242386,U,2,2023-10-10 15:54:00,2023-10-11 04:25:00,2023-10-11 04:55:00,CST,751,-
RIO GRANDE,1248275,U,2,2023-10-10 15:49:00,2023-10-11 03:50:00,2023-10-11 04:20:00,CST,721,-
KATIE GONSOULIN (TOW),1191866,U,2,2023-10-10 15:22:00,2023-10-11 03:20:00,2023-10-11 03:45:00,CST,718,-
MISS CATHERINE ,1301428,U,2,2023-10-10 10:21:00,2023-10-11 02:55:00,2023-10-11 03:15:00,CST,994,-
KARL SENNER ,1244550,U,3,2023-10-10 03:14:00,2023-10-11 02:20:00,2023-10-11 02:50:00,CST,1386,-
MISS GABRIELLA,1265914,U,2,2023-10-10 01:33:00,2023-10-11 01:55:00,2023-10-11 02:15:00,CST,1462,-
EMILY WEBBER,1276027,U,2,2023-10-09 22:10:00,2023-10-11 01:30:00,2023-10-11 01:50:00,CST,1640,-
RICHARD B(TOW) 55X22,568300,D,0,2023-10-11 01:05:00,2023-10-11 01:23:00,2023-10-11 01:30:00,CST,18,-
INTRA RECOIL(TOW),533346,U,2,2023-10-09 21:28:00,2023-10-11 01:00:00,2023-10-11 01:23:00,CST,1652,-
AMERICAN LIFE (TOW 2016) 76X34,1268290,U,2,2023-10-09 21:55:00,2023-10-11 00:35:00,2023-10-11 00:55:00,CST,1600,-
BOBBY JONES (TOW),502672,U,1,2023-10-09 20:20:00,2023-10-11 00:10:00,2023-10-11 00:30:00,CST,1670,-
INNOVATOR (TOW 2003),1141274,U,1,2023-10-09 20:15:00,2023-10-10 23:50:00,2023-10-11 00:05:00,CST,1655,-
DANNY OCKMAN,644041,U,3,2023-10-09 19:50:00,2023-10-10 23:30:00,2023-10-10 23:45:00,CST,0,-
DANNY OCKMAN,644041,U,3,2023-10-09 19:50:00,2023-10-10 22:51:00,2023-10-10 23:25:00,CST,1621,-
GOVERNOR MIKE HUCKABEE 80X30,1236450,D,2,2023-10-10 14:50:00,2023-10-10 22:05:00,2023-10-10 22:35:00,CST,435,-
CHAD DOUGLAS,1304256,D,2,2023-10-10 10:30:00,2023-10-10 21:45:00,2023-10-10 22:00:00,CST,675,-
ST CHARLES (TOW)76X35,1230767,D,3,2023-10-10 10:13:00,2023-10-10 21:05:00,2023-10-10 21:40:00,CST,652,-
STEVE RICHOUX (TOW),568988,D,3,2023-10-10 09:30:00,2023-10-10 20:00:00,2023-10-10 21:00:00,CST,630,-
