VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
NICHOLAS (TOW 2014) 65X28,1251897,D,6,2023-10-12 17:32:00,,,CST,800,18
TRUMP IT,0675384,D,6,2023-10-12 12:53:00,,,CST,1079,17
DODSON THORNTON,0266269,U,0,2023-10-12 12:05:00,,,CST,1127,13
MARIE  (TOW 2005),1171260,U,2,2023-10-12 09:59:00,,,CST,1253,12
ALEX D,1231404,U,2,2023-10-12 09:52:00,,,CST,1260,11
MISS CAROLINE (TOW 2014),1250509,U,2,2023-10-12 09:25:00,,,CST,1287,10
M/V TEXAS CITY,1189892,U,2,2023-10-12 07:08:00,,,CST,1424,9
LUCAS PAUL DEVALL (TOW 2017),1277619,U,2,2023-10-12 06:51:00,,,CST,1441,7
BORN AGAIN (TOW),0562776,U,6,2023-10-12 06:50:00,,,CST,1442,8
LYNN R (TOW),0625663,U,2,2023-10-12 06:42:00,,,CST,1450,6
BLUE DIAMOND,0565688,U,0,2023-10-12 06:29:00,,,CST,1463,5
MARK L DUPLANTIS,1209682,D,3,2023-10-12 06:20:00,,,CST,1472,16
AMERICAN SPIRIT (TOW 2014) 75X,1252998,D,2,2023-10-12 05:02:00,,,CST,1550,15
SOUTHERN BELLE  (TOW),0516701,D,6,2023-10-12 04:58:00,,,CST,1554,14
KENNY SHAVER,1294499,U,2,2023-10-12 04:35:00,,,CST,1577,4
GEORGE W BANTA (TOW),0266928,D,4,2023-10-11 22:15:00,,,CST,1957,13
SARAH D (TOW),1167754,D,6,2023-10-11 19:22:00,,,CST,2130,12
CAPT DANIEL CLEMENT (TOW),0519922,D,2,2023-10-11 18:37:00,,,CST,2175,11
CSS SHENANDOAH (TOW 2019),1300154,D,2,2023-10-11 18:34:00,,,CST,2178,10
JEFF KINDL (TOW 2016) 86X35,1266571,D,8,2023-10-11 16:42:00,,,CST,2290,9
MISS CARTER W,1334369,D,2,2023-10-11 15:39:00,,,CST,2353,8
WILSEY DUPRE (TOW 2010),1224664,D,2,2023-10-11 15:09:00,,,CST,2383,7
DIANE (TOW 2005),1176072,D,2,2023-10-11 12:18:00,,,CST,2554,6
DANNY OCKMAN,0644041,U,6,2023-10-11 10:34:00,,,CST,2658,3
HENRY J SOUDELIER III ( TOW ),1195775,U,2,2023-10-11 10:13:00,,,CST,2679,2
LAFITTE,1242386,U,2,2023-10-11 09:36:00,,,CST,2716,1
