VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
KEVIN ALLEN ,1273624,D,2,2023-10-23 09:04:00,2023-10-23 13:50:00,2023-10-23 14:20:00,CST,286,-
OLIVIA H (TOW 93' X 30'),512145,D,0,2023-10-23 12:34:00,2023-10-23 13:40:00,2023-10-23 14:15:00,CST,66,-
SEA OTTER (67X28),1253409,U,0,2023-10-23 13:05:00,2023-10-23 13:06:00,2023-10-23 13:25:00,CST,1,-
EVERETT C (TOW 2018) 72X30,1281643,U,2,2023-10-23 09:06:00,2023-10-23 12:50:00,2023-10-23 13:22:00,CST,224,-
LIV (TOW 2015) 72X30,1261486,D,5,2023-10-23 09:05:00,2023-10-23 12:10:00,2023-10-23 12:35:00,CST,185,-
CHRISTIE LEE (TOW 2015) 84X32,1259956,U,2,2023-10-23 09:03:00,2023-10-23 11:25:00,2023-10-23 11:50:00,CST,142,-
CAPT. GREGORY PETER (TOW),1033115,D,0,2023-10-23 10:45:00,2023-10-23 11:00:00,2023-10-23 11:12:00,CST,15,-
JOHN W STONE (TOW),602406,D,1,2023-10-23 09:02:00,2023-10-23 10:28:00,2023-10-23 10:55:00,CST,86,-
RED RIVER (TOW 2013) 78X34,1247072,D,2,2023-10-23 09:01:00,2023-10-23 10:20:00,2023-10-23 10:50:00,CST,79,-
CAPT. GREGORY PETER (TOW),1033115,U,0,2023-10-23 09:13:00,2023-10-23 09:25:00,2023-10-23 09:48:00,CST,12,-
CAPT ANDY LAKE (TOW),1239502,U,2,2023-10-23 09:00:00,2023-10-23 09:15:00,2023-10-23 09:45:00,CST,15,-
MISS KELLY (TOW 2009),1221425,D,1,2023-10-22 20:17:00,2023-10-22 21:26:00,2023-10-22 21:52:00,CST,69,-
PORT MANSFIELD,1262416,D,2,2023-10-22 18:07:00,2023-10-22 21:15:00,2023-10-22 21:46:00,CST,188,-
CAPT ANTHONY (TOW 2011),1232275,D,3,2023-10-22 19:05:00,2023-10-22 20:41:00,2023-10-22 21:09:00,CST,96,-
GRAYSON,1256561,D,2,2023-10-22 17:24:00,2023-10-22 20:31:00,2023-10-22 21:04:00,CST,187,-
ST. PETER,1259641,D,3,2023-10-22 17:05:00,2023-10-22 19:58:00,2023-10-22 20:25:00,CST,173,-
CHARLIE C (TOW),544273,U,6,2023-10-22 16:48:00,2023-10-22 18:58:00,2023-10-22 19:22:00,CST,130,-
C J BOYNE (TOW),1102627,U,2,2023-10-22 16:45:00,2023-10-22 18:02:00,2023-10-22 18:45:00,CST,77,-
DOUGLAS B (TOW 65X26),1071022,U,0,2023-10-22 17:40:00,2023-10-22 17:41:00,2023-10-22 18:38:00,CST,1,-
ENDURANCE (TOW 2011)81X30,1232349,D,2,2023-10-22 15:58:00,2023-10-22 17:02:00,2023-10-22 17:20:00,CST,64,-
PONTCHARTRAIN,1259051,D,2,2023-10-22 15:43:00,2023-10-22 16:22:00,2023-10-22 16:57:00,CST,39,-
MARK L DUPLANTIS,1209682,U,3,2023-10-22 15:17:00,2023-10-22 15:51:00,2023-10-22 16:21:00,CST,34,-
CAPT DOUG WRIGHT,1202864,D,8,2023-10-22 14:27:00,2023-10-22 15:13:00,2023-10-22 15:43:00,CST,46,-
LADY OF PERPETUAL HELP(TOW) ,1207724,D,6,2023-10-22 13:10:00,2023-10-22 14:18:00,2023-10-22 15:08:00,CST,68,-
MV HALLIE M. MERRICK,1247505,U,2,2023-10-22 10:29:00,2023-10-22 13:26:00,2023-10-22 14:17:00,CST,177,-
KIMBERLY HIDALGO,1253551,U,1,2023-10-22 10:28:00,2023-10-22 13:05:00,2023-10-22 13:21:00,CST,157,-
RITA (TOW),544740,D,6,2023-10-22 09:34:00,2023-10-22 12:18:00,2023-10-22 12:49:00,CST,164,-
GREGORY P FRAZIER (TOW),552463,D,2,2023-10-04 09:11:00,,,CST,11,2
SAN BLAS (TOW 2007),1195049,U,2,2023-10-04 08:19:00,,,CST,63,1A
CHAS GUIDRY (TOW 1980) 61X26,617902,U,0,2023-10-04 08:18:00,,,CST,64,1
KEVIN GOLDSTEIN,1327109,D,2,2023-10-04 08:10:00,2023-10-04 08:30:00,2023-10-04 08:59:00,CST,20,-
JOSEPH ALFRED DEVALL,1236564,U,2,2023-10-04 05:21:00,2023-10-04 06:02:00,2023-10-04 06:35:00,CST,41,-
RAY CHIEF TONEY (TOW 2015),1265939,U,2,2023-10-04 04:40:00,2023-10-04 05:48:00,2023-10-04 06:30:00,CST,68,-
CREOLE CRUSADER (TOW),1092924,U,2,2023-10-04 04:40:00,2023-10-04 04:47:00,2023-10-04 05:28:00,CST,7,-
BORN AGAIN (TOW),562776,D,6,2023-10-04 01:39:00,2023-10-04 03:02:00,2023-10-04 03:52:00,CST,83,-
TEENIE SONIER (TOW 2015) 78X34,1260016,D,2,2023-10-03 23:39:00,2023-10-04 02:24:00,2023-10-04 02:57:00,CST,165,-
DANE F MORGAN (TOW),1141127,D,2,2023-10-03 23:38:00,2023-10-04 01:46:00,2023-10-04 02:22:00,CST,128,-
MAC ANDREW MCKINNEY (TOW),1234978,D,6,2023-10-03 23:27:00,2023-10-04 01:01:00,2023-10-04 01:44:00,CST,94,-
PAT CENAC,1303152,U,2,2023-10-03 22:59:00,2023-10-03 23:58:00,2023-10-04 00:35:00,CST,59,-
CAPTAIN RAPHAEL (TOW 1980),622432,D,2,2023-10-03 22:08:00,2023-10-03 23:02:00,2023-10-03 23:36:00,CST,54,-
PORT EADS (TOW 2016) 69X30,1263200,D,2,2023-10-03 20:50:00,2023-10-03 22:19:00,2023-10-03 22:53:00,CST,89,-
RALPH RENFRO (TOW 2012) 84X32,1243956,U,2,2023-10-03 20:47:00,2023-10-03 21:30:00,2023-10-03 22:04:00,CST,43,-
VELMA C (TOW),1090026,U,4,2023-10-03 19:12:00,2023-10-03 20:31:00,2023-10-03 20:55:00,CST,79,-
ENTERPRISE,1247595,D,2,2023-10-03 18:36:00,2023-10-03 19:51:00,2023-10-03 20:16:00,CST,75,-
MACK AMON,1279906,U,2,2023-10-03 18:15:00,2023-10-03 18:48:00,2023-10-03 19:29:00,CST,33,-
LINDA HUGHES FARLEY,1273622,D,2,2023-10-03 17:29:00,2023-10-03 18:05:00,2023-10-03 18:30:00,CST,36,-
SYDNEY ANN (TOW),1184206,U,2,2023-10-03 16:55:00,2023-10-03 17:10:00,2023-10-03 17:45:00,CST,15,-
REX,592021,D,0,2023-10-03 15:41:00,2023-10-03 16:21:00,2023-10-03 16:32:00,CST,40,-
MISS KIMBERLY,1333893,U,2,2023-10-03 15:45:00,2023-10-03 15:59:00,2023-10-03 16:20:00,CST,14,-
ANGELLE (TOW 56X22),616510,D,1,2023-10-03 13:53:00,2023-10-03 14:56:00,2023-10-03 15:23:00,CST,63,-
SEA MULE (TOW),569742,D,2,2023-10-03 13:51:00,2023-10-03 14:45:00,2023-10-03 15:20:00,CST,54,-
MISS CARTER W,1334369,U,0,2023-10-03 13:23:00,2023-10-03 14:00:00,2023-10-03 14:25:00,CST,37,-
SOUTHERN BELLE  (TOW),516701,D,6,2023-10-03 11:29:00,2023-10-03 12:26:00,2023-10-03 13:00:00,CST,57,-
COUSHATTA (TOW),1040099,D,2,2023-10-03 10:45:00,2023-10-03 11:51:00,2023-10-03 12:20:00,CST,66,-
GEORGE ROWE (TOW),912893,D,2,2023-10-03 10:11:00,2023-10-03 11:10:00,2023-10-03 11:45:00,CST,59,-
FATHER PAT (TOW 2011) 76X35,1237423,D,3,2023-10-03 09:56:00,2023-10-03 10:11:00,2023-10-03 10:45:00,CST,15,-
SARAH D (TOW),1167754,D,3,2023-10-03 09:52:00,2023-10-03 10:00:00,2023-10-03 10:40:00,CST,8,-
HONDO (TOW95X35),1217767,U,4,2023-10-03 07:21:00,2023-10-03 08:13:00,2023-10-03 08:47:00,CST,52,-
POINT A LA HACHE,1265682,U,2,2023-10-03 06:59:00,2023-10-03 07:40:00,2023-10-03 08:07:00,CST,41,-
WALTER ( TOW 1995),1033116,D,2,2023-10-03 05:21:00,2023-10-03 05:54:00,2023-10-03 06:26:00,CST,33,-
REBOUND,286204,D,6,2023-10-03 04:49:00,2023-10-03 05:20:00,2023-10-03 05:45:00,CST,31,-
CHOCTAW (TOW),971260,U,2,2023-10-03 03:01:00,2023-10-03 04:44:00,2023-10-03 05:06:00,CST,103,-
KEVIN ALLEN,1273624,U,2,2023-10-03 01:23:00,2023-10-03 04:00:00,2023-10-03 04:38:00,CST,157,-
AL CENAC,1316302,U,3,2023-10-03 01:26:00,2023-10-03 03:02:00,2023-10-03 03:44:00,CST,96,-
LAURENCE M GONSOULIN (TOW 2014,1252652,U,3,2023-10-03 00:34:00,2023-10-03 02:00:00,2023-10-03 02:50:00,CST,86,-
CREOLE RIVERS (TOW),590667,D,1,2023-10-03 00:38:00,2023-10-03 01:13:00,2023-10-03 01:46:00,CST,35,-
EARL GONSOULIN,1050586,D,2,2023-10-03 00:02:00,2023-10-03 00:49:00,2023-10-03 01:42:00,CST,47,-
