VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
LIV (TOW 2015) 72X30,1261486,D,5,2023-10-24 04:35:00,2023-10-24 04:36:00,2023-10-24 05:20:00,CST,1,-
ALBERT CENAC(72X30),1243597,U,1,2023-10-24 03:20:00,2023-10-24 03:47:00,2023-10-24 04:27:00,CST,27,-
JOHN W STONE (TOW),602406,D,1,2023-10-24 02:15:00,2023-10-24 03:31:00,2023-10-24 03:46:00,CST,76,-
ST. PETER,1259641,D,3,2023-10-24 02:04:00,2023-10-24 02:41:00,2023-10-24 03:26:00,CST,37,-
RED RIVER (TOW 2013) 78X34,1247072,D,2,2023-10-24 01:48:00,2023-10-24 01:49:00,2023-10-24 02:36:00,CST,1,-
CAPT NILES SHOEMAKER,1239879,U,2,2023-10-23 22:32:00,2023-10-24 00:59:00,2023-10-24 01:20:00,CST,147,-
CREOLE RIVERS (TOW),590667,U,1,2023-10-23 22:13:00,2023-10-24 00:31:00,2023-10-24 00:54:00,CST,138,-
MACK AMON,1279906,U,2,2023-10-23 22:11:00,2023-10-23 23:56:00,2023-10-24 00:26:00,CST,105,-
MISS PEYTON,633411,U,6,2023-10-23 22:02:00,2023-10-23 22:55:00,2023-10-23 23:51:00,CST,53,-
CAPT ANTHONY (TOW 2011),1232275,D,3,2023-10-23 22:06:00,2023-10-23 22:39:00,2023-10-23 22:54:00,CST,33,-
GRAYSON,1256561,D,2,2023-10-23 21:45:00,2023-10-23 22:21:00,2023-10-23 22:34:00,CST,36,-
PONTCHARTRAIN,1259051,D,2,2023-10-23 21:13:00,2023-10-23 21:39:00,2023-10-23 22:15:00,CST,26,-
REBOUND,286204,U,6,2023-10-23 19:42:00,2023-10-23 21:18:00,2023-10-23 21:38:00,CST,96,-
STEVEN M BRYAN (2010) 86X32,1223817,U,2,2023-10-23 19:41:00,2023-10-23 20:53:00,2023-10-23 21:13:00,CST,72,-
JESUS SAVES (TOW),534836,U,6,2023-10-23 19:38:00,2023-10-23 20:32:00,2023-10-23 20:48:00,CST,54,-
PECAN ISLAND,1243601,U,2,2023-10-23 19:36:00,2023-10-23 19:45:00,2023-10-23 20:27:00,CST,9,-
LADY OF PERPETUAL HELP(TOW),1207724,D,6,2023-10-23 18:48:00,2023-10-23 18:49:00,2023-10-23 19:44:00,CST,1,-
DANNY OCKMAN,644041,D,6,2023-10-23 17:09:00,2023-10-23 17:36:00,2023-10-23 18:16:00,CST,27,-
