VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,LOCK_NAME
MARIE (TOW),639136,D,0,10/30/23 14:01,CST,,10/30/23 14:35,10/30/23 15:08,Port Allen
JAMES S DAVISON (TOW 86X32) ,1211188,U,2,10/30/23 13:34,CST,367505050.0,,,Port Allen
TERESA SPROUSE ,1330562,U,6,10/30/23 13:27,CST,368311730.0,,,Port Allen
WILLIAM  (TOW 2009) 70X30,1222437,U,2,10/30/23 12:31,CST,367423260.0,,,Port Allen
JERRY TOROK,1265746,D,2,10/30/23 12:05,CST,367703560.0,,,Port Allen
PINTAIL (TOW 2009) 57X28,1225748,D,1,10/30/23 08:32,CST,367799330.0,10/30/23 10:40,10/30/23 11:43,Port Allen
CAPT. TOMMY ANTHONY (TOW),1174691,D,1,10/30/23 06:15,CST,367087250.0,10/30/23 09:23,10/30/23 10:07,Port Allen
CAPT DICKIE PAUL,590056,D,1,10/30/23 06:00,CST,367003850.0,10/30/23 08:00,10/30/23 08:50,Port Allen
JEFF KINDL (TOW 2016) 86X35,1266571,D,8,10/30/23 03:36,CST,367711840.0,,,Port Allen
AVENGER,1244673,U,2,10/30/23 02:50,CST,367561870.0,,,Port Allen
BOBBY JONES (TOW),502672,U,3,10/30/23 02:42,CST,366919160.0,,,Port Allen
HOUSTON FORET (TOW 1981) 57X24,633661,U,2,10/30/23 02:41,CST,367588960.0,,,Port Allen
FREEDOM,1249555,U,6,10/29/23 21:46,CST,367591950.0,,,Port Allen
CROSBY EXPRESS,521797,D,3,10/29/23 18:48,CST,368115150.0,10/29/23 23:40,10/30/23 01:21,Port Allen
GOSIER,1242385,D,2,10/29/23 17:56,CST,368110410.0,,,Port Allen
DANNY OCKMAN,644041,U,6,10/29/23 17:21,CST,368103550.0,10/31/23 07:25,10/31/23 08:22,Port Allen
KITTY (TOW 2000),1095430,D,2,10/29/23 17:08,CST,367003480.0,,,Port Allen
G. I. JOE,631012,U,1,10/29/23 16:47,CST,368202360.0,10/29/23 19:20,10/29/23 20:15,Port Allen
KATIE GONSOULIN (TOW),1191866,D,2,10/29/23 16:29,CST,367145440.0,,,Port Allen
ENTERPRISE,1247595,U,2,10/29/23 16:24,CST,367579920.0,10/31/23 05:20,10/31/23 05:55,Port Allen
MISS KELLY (TOW 2009),1221425,U,2,10/29/23 16:18,CST,367427270.0,10/31/23 04:15,10/31/23 04:55,Port Allen
ROBERT INGLE (TOW),282986,D,2,10/29/23 16:17,CST,366821510.0,,,Port Allen
AMERICAN SKILL,1271964,U,2,10/29/23 14:57,CST,367752120.0,10/31/23 03:05,10/31/23 03:50,Port Allen
BORN AGAIN (TOW),562776,U,5,10/29/23 14:53,CST,367712770.0,10/30/23 21:55,10/30/23 22:45,Port Allen
JOSEPH F MORRISON (TOW),1211000,D,2,10/29/23 14:02,CST,367350190.0,,,Port Allen
RITA (TOW),544740,U,5,10/29/23 13:59,CST,366961280.0,10/31/23 01:25,10/31/23 02:00,Port Allen
ST. MATTHIAS,1273328,D,6,10/29/23 13:50,CST,367757270.0,,,Port Allen
RISEN SAVIOUR (TOW),1191228,U,6,10/29/23 13:47,CST,367444740.0,10/31/23 00:20,10/31/23 01:00,Port Allen
TRUMP IT,675384,U,6,10/29/23 13:43,CST,367710770.0,10/30/23 23:20,10/30/23 23:50,Port Allen
HUD JOSEPH (TOW 60X24 ),642513,D,1,10/29/23 12:28,CST,367378170.0,10/29/23 20:32,10/29/23 21:50,Port Allen
SANDPIPER (TOW 2011) 34X78,1237330,U,1,10/29/23 12:23,CST,367512920.0,10/29/23 22:05,10/29/23 23:25,Port Allen
LAFITTE,1242386,U,2,10/29/23 12:08,CST,367590270.0,10/30/23 21:00,10/30/23 21:35,Port Allen
ALICE GOLDING,1253566,U,2,10/29/23 11:47,CST,367631610.0,10/30/23 19:40,10/30/23 20:20,Port Allen
