VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,LOCK_NAME
AMERICAN PR0GRESS,1265757,U,2,10/30/23 06:59,CST,367703790.0,10/30/23 08:36,10/30/23 09:10,Leland Bowman
NATHAN GOLDING (TOW),1199250,U,2,10/30/23 06:45,CST,367301010.0,10/30/23 08:00,10/30/23 08:30,Leland Bowman
MISS GENEVIEVE,1276019,D,2,10/30/23 06:25,CST,368201030.0,10/30/23 06:51,10/30/23 07:25,Leland Bowman
DELACROIX,1256869,D,1,10/30/23 06:24,CST,368136920.0,10/30/23 06:38,10/30/23 07:20,Leland Bowman
CHARLIE C (TOW),544273,D,6,10/30/23 01:45,CST,366961220.0,10/30/23 02:16,10/30/23 02:41,Leland Bowman
COTTLE (TOW 2019) 85X32,1291739,D,3,10/30/23 00:36,CST,368072040.0,10/30/23 01:32,10/30/23 02:08,Leland Bowman
AL CENAC,1316302,D,6,10/29/23 23:55,CST,,10/30/23 00:27,10/30/23 00:54,Leland Bowman
STEVE ALLEY,1322117,D,6,10/29/23 22:26,CST,368273690.0,10/29/23 23:53,10/30/23 00:21,Leland Bowman
JEFFREY GRANT,1253473,U,1,10/29/23 21:21,CST,367627470.0,10/29/23 23:05,10/29/23 23:27,Leland Bowman
CHARLES ALFRED (TOW),561255,D,1,10/29/23 19:16,CST,366973420.0,10/29/23 22:03,10/29/23 22:28,Leland Bowman
SACRED HEART (TOW 73X28),1203067,U,6,10/29/23 18:28,CST,367189510.0,10/29/23 21:23,10/29/23 21:51,Leland Bowman
POINT ISABEL ( TOW 72X30),1200270,D,1,10/29/23 18:18,CST,368070310.0,10/29/23 19:57,10/29/23 20:41,Leland Bowman
ADDISON FAITH,1308502,D,1,10/29/23 18:13,CST,368177590.0,10/29/23 19:33,10/29/23 20:37,Leland Bowman
LANEY BLESSEY WATKINS ( TOW),1251462,U,2,10/29/23 18:10,CST,367613760.0,10/29/23 18:55,10/29/23 19:18,Leland Bowman
CSS SHENANDOAH (TOW 2019),1300154,D,3,10/29/23 16:24,CST,368122650.0,10/29/23 17:16,10/29/23 17:40,Leland Bowman
JOHN WILLIAMS (TOW 2010)86X32,1227726,D,2,10/29/23 16:21,CST,367464670.0,10/29/23 17:11,10/29/23 17:35,Leland Bowman
FATHER PAT (TOW 2011) 76X35,1237423,D,6,10/29/23 16:01,CST,367519320.0,10/29/23 16:35,10/29/23 17:05,Leland Bowman
RICHARD TOLAR (85X30),1225115,U,2,10/29/23 15:19,CST,367439360.0,10/29/23 15:49,10/29/23 16:16,Leland Bowman
NICEVILLE (TOW 76X35 2009),1221092,D,2,10/29/23 12:57,CST,367417570.0,10/29/23 15:11,10/29/23 15:37,Leland Bowman
TIM GOLDING ,1325050,U,1,10/29/23 12:49,CST,368270030.0,10/29/23 13:01,10/29/23 13:54,Leland Bowman
CREOLE CRUSADER (TOW),1092924,D,2,10/29/23 12:21,CST,367005340.0,10/29/23 14:39,10/29/23 15:05,Leland Bowman
GOSPEL LIGHT (TOW),570130,D,6,10/29/23 11:40,CST,367637070.0,10/29/23 14:10,10/29/23 14:32,Leland Bowman
RENEE T WHATLEY (TOW),1194317,U,1,10/29/23 11:27,CST,367155550.0,10/29/23 12:35,10/29/23 13:45,Leland Bowman
