VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,LOCK_NAME
STEVE RICHOUX (TOW),0568988,D,3,10/28/23 22:03,CST,366998110,10/29/23 15:25,10/29/23 15:30,Bayou Sorrel
RITA (TOW),0544740,U,2,10/28/23 18:40,CST,366961280,10/29/23 09:46,10/29/23 10:00,Bayou Sorrel
RITA (TOW),0544740,U,3,10/28/23 18:40,CST,366961280,10/29/23 10:05,10/29/23 10:10,Bayou Sorrel
TRUMP IT,0675384,U,3,10/28/23 18:24,CST,367710770,10/29/23 08:55,10/29/23 09:00,Bayou Sorrel
TRUMP IT,0675384,U,3,10/28/23 18:24,CST,367710770,10/29/23 09:05,10/29/23 09:10,Bayou Sorrel
DANNY OCKMAN,0644041,U,3,10/28/23 17:58,CST,368103550,10/29/23 08:24,10/29/23 08:40,Bayou Sorrel
DANNY OCKMAN,0644041,U,3,10/28/23 17:58,CST,368103550,10/29/23 08:45,10/29/23 08:50,Bayou Sorrel
LAFITTE,1242386,U,2,10/28/23 17:22,CST,367590270,10/29/23 08:00,10/29/23 08:20,Bayou Sorrel
CAPT LANCE DRAGON ( TOW ),1195404,U,2,10/28/23 16:45,CST,367162270,10/29/23 07:25,10/29/23 07:54,Bayou Sorrel
HOUSTON FORET (TOW 1981) 57X24,0633661,D,2,10/28/23 16:22,CST,367588960,10/28/23 23:35,10/29/23 00:00,Bayou Sorrel
SYDNEY ANN (TOW),1184206,U,2,10/28/23 15:58,CST,367114880,10/29/23 06:22,10/29/23 06:35,Bayou Sorrel
THERESA B (TOW),0561744,D,0,10/28/23 15:57,CST,367056060,10/28/23 15:58,10/28/23 16:10,Bayou Sorrel
ALICE GOLDING,1253566,U,2,10/28/23 15:57,CST,367631610,10/29/23 05:35,10/29/23 06:17,Bayou Sorrel
POINT ISABEL ( TOW 72X30),1200270,D,1,10/28/23 15:47,CST,368070310,10/28/23 23:20,10/28/23 23:28,Bayou Sorrel
CSS SHENANDOAH (TOW 2019),1300154,D,3,10/28/23 12:31,CST,368122650,10/28/23 22:25,10/28/23 22:35,Bayou Sorrel
CHARLIE C (TOW),0544273,D,3,10/28/23 11:50,CST,366961220,10/28/23 22:40,10/28/23 22:50,Bayou Sorrel
CHARLIE C (TOW),0544273,D,2,10/28/23 11:50,CST,366961220,10/28/23 22:55,10/28/23 23:15,Bayou Sorrel
SANDPIPER (TOW 2011) 34X78,1237330,U,1,10/28/23 11:07,CST,367512920,10/29/23 04:50,10/29/23 05:30,Bayou Sorrel
REPOSE,1041355,U,3,10/28/23 10:41,CST,368286780,10/29/23 03:46,10/29/23 04:20,Bayou Sorrel
REPOSE,1041355,U,3,10/28/23 10:41,CST,368286780,10/29/23 04:25,10/29/23 04:45,Bayou Sorrel
SCOTT R WILSON (TOW),1114162,U,2,10/28/23 10:27,CST,366816020,10/29/23 02:00,10/29/23 02:35,Bayou Sorrel
JOHN WILLIAMS (TOW 2010)86X32,1227726,D,2,10/28/23 10:18,CST,367464670,10/28/23 21:25,10/28/23 21:35,Bayou Sorrel
CAPT JIMMY WARREN (TOW 2016) ,1265940,U,2,10/28/23 09:57,CST,367704410,10/29/23 01:25,10/29/23 01:55,Bayou Sorrel
A.B. CENAC,1201765,U,1,10/28/23 09:13,CST,368238290,10/29/23 00:20,10/29/23 01:20,Bayou Sorrel
COTTLE (TOW 2019) 85X32,1291739,D,3,10/28/23 08:05,CST,368072040,10/28/23 21:40,10/28/23 22:20,Bayou Sorrel
INDEPENDENCE,0586238,D,3,10/28/23 07:41,CST,368077830,10/28/23 20:16,10/28/23 20:55,Bayou Sorrel
INDEPENDENCE,0586238,D,3,10/28/23 07:41,CST,368077830,10/28/23 21:00,10/28/23 21:20,Bayou Sorrel
CITATION (TOW),1217083,D,3,10/28/23 06:05,CST,368213040,10/28/23 19:21,10/28/23 19:45,Bayou Sorrel
CITATION (TOW),1217083,D,3,10/28/23 06:05,CST,368213040,10/28/23 19:50,10/28/23 20:00,Bayou Sorrel
JANIS ELIZABETH (TOW) 72X32,1292294,D,2,10/28/23 04:55,CST,368077290,10/28/23 18:35,10/28/23 19:00,Bayou Sorrel
NICEVILLE (TOW 76X35 2009),1221092,D,2,10/28/23 04:36,CST,367417570,10/28/23 16:40,10/28/23 17:05,Bayou Sorrel
CALIFORNIA CHROME (TOW 2019),1292966,D,3,10/28/23 03:28,CST,368213090,10/28/23 17:10,10/28/23 17:30,Bayou Sorrel
CALIFORNIA CHROME (TOW 2019),1292966,D,3,10/28/23 03:28,CST,368213090,10/28/23 17:35,10/28/23 17:55,Bayou Sorrel
JADEN PASENTINE,1296289,D,2,10/28/23 02:42,CST,368113380,10/28/23 15:45,10/28/23 15:55,Bayou Sorrel
GRAYSON,1256561,U,2,10/28/23 02:02,CST,368097590,10/28/23 16:10,10/28/23 16:40,Bayou Sorrel
RISEN SAVIOUR (TOW),1191228,U,3,10/27/23 19:01,CST,367444740,10/28/23 13:46,10/28/23 14:25,Bayou Sorrel
RISEN SAVIOUR (TOW),1191228,U,3,10/27/23 19:01,CST,367444740,10/28/23 14:30,10/28/23 14:35,Bayou Sorrel
RIVER DIAMOND (TOW),609370,U,1,10/31/23 07:00,CST,368073490.0,,,Bayou Sorrel
MISSION (TOW 84X32) 2012,1240072,D,2,10/31/23 01:30,CST,367533930.0,,,Bayou Sorrel
SETH D (TOW 1981) 61X26,634990,U,6,10/31/23 01:10,CST,367448060.0,,,Bayou Sorrel
DODSON THORNTON,266269,U,6,10/31/23 01:06,CST,368120610.0,,,Bayou Sorrel
MIKE MITCHELL,624349,D,6,10/31/23 01:02,CST,368144320.0,,,Bayou Sorrel
MARIE (TOW),639136,U,1,10/30/23 21:16,CST,,,,Bayou Sorrel
LANEY BLESSEY WATKINS ( TOW),1251462,U,2,10/30/23 20:07,CST,367613760.0,10/31/23 00:00,10/31/23 00:40,Bayou Sorrel
MARIE (TOW),639136,D,0,10/30/23 20:04,CST,,10/30/23 20:25,10/30/23 20:35,Bayou Sorrel
JOCK  (TOW 2000)  86X30,1101550,U,2,10/30/23 19:04,CST,367003460.0,,,Bayou Sorrel
RICHARD TOLAR (85X30),1225115,U,2,10/30/23 19:01,CST,367439360.0,10/30/23 22:05,10/30/23 22:40,Bayou Sorrel
RICHARD B(55X22),5681300,D,0,10/30/23 18:21,CST,,10/30/23 18:40,10/30/23 18:45,Bayou Sorrel
MICHELE GONSOULIN ( TOW ),1194788,D,2,10/30/23 18:03,CST,367303080.0,10/30/23 23:20,10/30/23 23:55,Bayou Sorrel
LAURA M,1315595,D,2,10/30/23 17:47,CST,368201570.0,,,Bayou Sorrel
PINTAIL (TOW 2009) 57X28,1225748,D,1,10/30/23 17:39,CST,367799330.0,10/30/23 22:40,10/30/23 23:15,Bayou Sorrel
THERESA B (TOW),561744,D,0,10/30/23 17:30,CST,367056060.0,10/30/23 17:35,10/30/23 17:40,Bayou Sorrel
THERESA B (TOW),561744,D,0,10/30/23 17:00,CST,367056060.0,10/30/23 17:01,10/30/23 17:05,Bayou Sorrel
RALPH C,1292862,U,2,10/30/23 16:46,CST,368083470.0,10/30/23 17:40,10/30/23 18:10,Bayou Sorrel
INTRA RECOIL(TOW),533346,U,1,10/30/23 16:45,CST,368193180.0,10/30/23 19:01,10/30/23 19:10,Bayou Sorrel
INTRA RECOIL(TOW),533346,U,1,10/30/23 16:45,CST,368193180.0,10/30/23 19:15,10/30/23 19:25,Bayou Sorrel
THERESA B (TOW),561744,D,0,10/30/23 16:15,CST,367056060.0,10/30/23 16:16,10/30/23 16:35,Bayou Sorrel
CAPT. TOMMY ANTHONY (TOW),1174691,D,1,10/30/23 14:27,CST,367087250.0,10/30/23 19:50,10/30/23 20:00,Bayou Sorrel
GOVERNOR MIKE HUCKABEE 80X30,1236450,D,2,10/30/23 14:05,CST,367508430.0,10/30/23 21:45,10/30/23 22:05,Bayou Sorrel
LUCY MAY,614508,D,6,10/30/23 14:03,CST,367002580.0,,,Bayou Sorrel
CAPT DICKIE PAUL,590056,D,1,10/30/23 13:56,CST,367003850.0,10/30/23 14:40,10/30/23 14:50,Bayou Sorrel
RENEE T WHATLEY (TOW),1194317,U,1,10/30/23 12:24,CST,367155550.0,10/30/23 17:05,10/30/23 17:35,Bayou Sorrel
CITATION (TOW),1217083,U,3,10/30/23 12:22,CST,368213040.0,10/30/23 18:15,10/30/23 18:25,Bayou Sorrel
CITATION (TOW),1217083,U,3,10/30/23 12:22,CST,368213040.0,10/30/23 18:30,10/30/23 18:40,Bayou Sorrel
MANNIE (TOW 2009),1217770,U,2,10/30/23 12:20,CST,367410990.0,10/30/23 15:25,10/30/23 15:55,Bayou Sorrel
LUBBOCK,1260379,U,2,10/30/23 11:50,CST,368136890.0,10/30/23 16:35,10/30/23 16:55,Bayou Sorrel
DENNIS ROSS (TOW),544705,D,3,10/30/23 11:41,CST,366936680.0,10/30/23 14:55,10/30/23 15:25,Bayou Sorrel
THREE RIVERS (TOW 2013) 78X34,1250092,D,2,10/30/23 11:22,CST,367595460.0,10/30/23 14:25,10/30/23 14:35,Bayou Sorrel
RIO GRANDE,1248275,D,2,10/30/23 10:19,CST,367585170.0,10/30/23 13:40,10/30/23 14:20,Bayou Sorrel
BAYLOR J TREGRE,1055480,U,1,10/30/23 10:10,CST,368316160.0,10/30/23 11:40,10/30/23 11:45,Bayou Sorrel
WILLIAM  (TOW 2009) 70X30,1222437,U,2,10/30/23 08:30,CST,367423260.0,10/30/23 11:50,10/30/23 11:55,Bayou Sorrel
THERESA B (TOW),561744,D,0,10/30/23 07:30,CST,367056060.0,10/30/23 07:31,10/30/23 07:45,Bayou Sorrel
MARTHA T (TOW),1194629,U,3,10/30/23 07:26,CST,367156850.0,10/30/23 08:25,10/30/23 08:50,Bayou Sorrel
MARTHA T (TOW),1194629,U,3,10/30/23 07:26,CST,367156850.0,10/30/23 08:55,10/30/23 09:00,Bayou Sorrel
JAMES S DAVISON (TOW 86X32) ,1211188,U,2,10/30/23 07:20,CST,367505050.0,10/30/23 07:45,10/30/23 08:20,Bayou Sorrel
MICHELLE GOLDING,1258033,D,2,10/30/23 07:12,CST,367652980.0,10/30/23 09:00,10/30/23 09:50,Bayou Sorrel
HUD JOSEPH (TOW 60X24 ),642513,D,1,10/30/23 04:00,CST,367378170.0,10/30/23 04:40,10/30/23 05:00,Bayou Sorrel
CAPT DOUG WRIGHT,1202864,U,3,10/30/23 01:51,CST,367702240.0,10/30/23 10:41,10/30/23 10:55,Bayou Sorrel
CAPT DOUG WRIGHT,1202864,U,1,10/30/23 01:51,CST,367702240.0,10/30/23 11:00,10/30/23 11:35,Bayou Sorrel
TERESA SPROUSE ,1330562,U,3,10/30/23 00:42,CST,368311730.0,10/30/23 01:46,10/30/23 02:20,Bayou Sorrel
TERESA SPROUSE ,1330562,U,3,10/30/23 00:42,CST,368311730.0,10/30/23 02:25,10/30/23 02:35,Bayou Sorrel
AVENGER,1244673,U,2,10/29/23 20:49,CST,367561870.0,10/29/23 23:25,10/30/23 00:00,Bayou Sorrel
MARK L DUPLANTIS,1209682,D,4,10/29/23 19:41,CST,367702060.0,10/29/23 22:21,10/29/23 23:00,Bayou Sorrel
MARK L DUPLANTIS,1209682,D,4,10/29/23 19:41,CST,367702060.0,10/29/23 23:05,10/29/23 23:25,Bayou Sorrel
HOUSTON FORET (TOW 1981) 57X24,633661,U,2,10/29/23 17:53,CST,367588960.0,10/29/23 19:40,10/29/23 20:15,Bayou Sorrel
CAPTAIN ROY DANIELS,1316301,D,3,10/29/23 17:29,CST,368252420.0,10/29/23 21:21,10/29/23 21:40,Bayou Sorrel
CAPTAIN ROY DANIELS,1316301,D,3,10/29/23 17:29,CST,368252420.0,10/29/23 21:45,10/29/23 21:55,Bayou Sorrel
BOBBY JONES (TOW),502672,U,3,10/29/23 16:49,CST,366919160.0,10/29/23 20:15,10/29/23 20:55,Bayou Sorrel
JOSSET   (TOW 56X23),1116940,D,3,10/29/23 15:48,CST,366841020.0,10/29/23 19:20,10/29/23 19:40,Bayou Sorrel
G. I. JOE,631012,U,1,10/29/23 12:08,CST,368202360.0,10/29/23 12:10,10/29/23 12:21,Bayou Sorrel
JOCK  (TOW 2000)  86X30,1101550,D,2,10/29/23 11:29,CST,367003460.0,10/29/23 17:05,10/29/23 17:15,Bayou Sorrel
