VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,SOL_DATE,ARRIVAL_DATE,END_OF_LOCKAGE,TIMEZONE,MMSI,LOCK_NAME
JOHN WILLIAMS (TOW 2010)86X32,1227726,D,2,10/30/23 09:59,10/30/23 08:10,10/30/23 10:19,CST,367464670.0,Calcasieu
MAC ANDREW MCKINNEY (TOW),1234978,U,4,,10/30/23 08:06,,CST,367500460.0,Calcasieu
HOLY ROSARY (TOW 74X30),1217490,D,6,10/30/23 09:39,10/30/23 07:55,10/30/23 09:51,CST,367389530.0,Calcasieu
JADEN PASENTINE,1296289,D,2,10/30/23 09:10,10/30/23 07:40,10/30/23 09:23,CST,368113380.0,Calcasieu
JERRY PORCHE,1276029,D,2,10/30/23 08:37,10/30/23 07:37,10/30/23 08:56,CST,368056310.0,Calcasieu
NICEVILLE (TOW 76X35 2009),1221092,D,2,10/30/23 08:20,10/30/23 07:14,10/30/23 08:36,CST,367417570.0,Calcasieu
CSS SHENANDOAH (TOW 2019),1300154,D,3,10/30/23 08:01,10/30/23 07:10,10/30/23 08:13,CST,368122650.0,Calcasieu
LESTER FULFER (TOW 2018),1278758,U,2,10/30/23 07:25,10/30/23 06:56,10/30/23 07:41,CST,368032120.0,Calcasieu
KING,1301093,U,2,10/30/23 05:34,10/30/23 04:39,10/30/23 06:22,CST,368134020.0,Calcasieu
CREOLE CRUSADER (TOW),1092924,D,2,10/30/23 04:43,10/30/23 04:35,10/30/23 05:14,CST,367005340.0,Calcasieu
DISCOVERY ,1225821,D,2,10/30/23 03:41,10/30/23 03:40,10/30/23 04:42,CST,367443840.0,Calcasieu
DARIAN ALEXANDRA (TOW 2019),1269031,U,3,10/30/23 01:31,10/30/23 01:27,10/30/23 02:17,CST,368109530.0,Calcasieu
TREY PAUL (TOW),567170,U,1,10/30/23 01:12,10/30/23 01:04,10/30/23 01:30,CST,367702730.0,Calcasieu
DANNY TERRAL (TOW) 75X26,651548,U,6,,10/29/23 23:54,,CST,367005180.0,Calcasieu
BRENDA B (TOW),507154,D,1,10/30/23 00:01,10/29/23 23:50,10/30/23 00:37,CST,367076910.0,Calcasieu
EMS EXPRESS (TOW),1174266,U,2,,10/29/23 23:47,,CST,367059310.0,Calcasieu
SOUTHERN BELLE  (TOW),516701,D,6,10/30/23 00:40,10/29/23 23:11,10/30/23 01:10,CST,368115890.0,Calcasieu
LADY OF LOURDES (TOW),1212047,U,6,10/29/23 23:35,10/29/23 22:04,10/29/23 23:58,CST,367367530.0,Calcasieu
KIMBERLY HIDALGO,1253551,U,1,10/29/23 22:54,10/29/23 21:58,10/29/23 23:34,CST,367627770.0,Calcasieu
AMAZING GRACE (TOW 1958),277588,D,6,10/29/23 21:55,10/29/23 21:53,10/29/23 22:53,CST,367731330.0,Calcasieu
CHARLIE C (TOW 2016) 84X34,1259981,U,2,10/29/23 21:00,10/29/23 20:20,10/29/23 21:26,CST,367751160.0,Calcasieu
CAPTAIN RAPHAEL (TOW 1980),622432,U,2,10/29/23 20:38,10/29/23 19:28,10/29/23 20:59,CST,368099010.0,Calcasieu
LIV (TOW 2015) 72X30,1261486,U,6,10/29/23 20:00,10/29/23 19:11,10/29/23 20:36,CST,367682130.0,Calcasieu
ST. PETER,1259641,U,5,10/29/23 19:06,10/29/23 18:20,10/29/23 19:58,CST,367681480.0,Calcasieu
JERRY PORCHE,1276029,U,2,10/29/23 18:36,10/29/23 18:12,10/29/23 19:05,CST,368056310.0,Calcasieu
MADELINE ( TOW 2008 ),1209145,U,2,10/29/23 18:10,10/29/23 17:10,10/29/23 18:35,CST,367350460.0,Calcasieu
BILLY BURKETT ( TOW ),1198627,U,3,10/29/23 17:40,10/29/23 16:45,10/29/23 17:59,CST,367186340.0,Calcasieu
AMERICAN PR0GRESS,1265757,U,2,10/29/23 17:07,10/29/23 16:38,10/29/23 17:26,CST,367703790.0,Calcasieu
BRIAN O DANIELS ( TOW ),1198960,D,2,10/29/23 16:30,10/29/23 16:09,10/29/23 16:43,CST,367186410.0,Calcasieu
STEVEN M BRYAN (2010) 86X32,1223817,D,2,10/29/23 16:02,10/29/23 15:47,10/29/23 16:11,CST,367430050.0,Calcasieu
NATHAN GOLDING (TOW),1199250,U,2,10/29/23 15:23,10/29/23 15:08,10/29/23 15:40,CST,367301010.0,Calcasieu
ELDA A,1253279,D,1,10/29/23 14:13,10/29/23 14:00,10/29/23 14:18,CST,367639990.0,Calcasieu
ROBERT MUDD (TOW ,1229106,D,2,10/29/23 13:45,10/29/23 12:23,10/29/23 13:55,CST,364888400.0,Calcasieu
DUKE,1247420,D,2,10/29/23 13:14,10/29/23 11:54,10/29/23 13:34,CST,367586750.0,Calcasieu
RAY S (TOW 2017),1282990,D,2,10/29/23 12:54,10/29/23 11:28,10/29/23 13:13,CST,368019060.0,Calcasieu
